Iteration	CPUTime	PhysTime	Travels	CourFact
1	1	0	0.025	0
2	2	0	0.05	0
3	2	0	0.075	0
4	2	0	0.1	0
5	3	0	0.125	0
6	3	0	0.15	0
7	3	0	0.175	0
8	4	0	0.2	0
9	4	0	0.225	0
10	4	0	0.25	0
11	4	0	0.275	0
12	5	0	0.3	0
13	5	0	0.325	0
14	5	0	0.35	0
15	6	0	0.375	0
16	6	0	0.4	0
17	6	0	0.425	0
18	7	0	0.45	0
19	7	0	0.475	0
20	7	0	0.5	0
21	7	0	0.525	0
22	8	0	0.55	0
23	8	0	0.575	0
24	9	0	0.6	0
25	9	0	0.625	0
26	9	0	0.65	0
27	10	0	0.675	0
28	10	0	0.7	0
29	10	0	0.725	0
30	11	0	0.75	0
31	11	0	0.775	0
32	11	0	0.8	0
33	12	0	0.825	0
34	12	0	0.85	0
35	12	0	0.875	0
36	13	0	0.9	0
37	13	0	0.925	0
38	13	0	0.95	0
39	14	0	0.975	0
40	14	0	1	0
41	14	0	1.025	0
42	15	0	1.05	0
43	15	0	1.075	0
44	15	0	1.1	0
45	16	0	1.125	0
46	16	0	1.15	0
47	16	0	1.175	0
48	17	0	1.2	0
49	17	0	1.225	0
50	18	0	1.25	0
51	18	0	1.275	0
52	18	0	1.3	0
53	19	0	1.325	0
54	19	0	1.35	0
55	20	0	1.375	0
56	20	0	1.4	0
57	20	0	1.425	0
58	21	0	1.45	0
59	21	0	1.475	0
60	21	0	1.5	0
61	22	0	1.525	0
62	22	0	1.55	0
63	22	0	1.575	0
64	23	0	1.6	0
65	23	0	1.625	0
66	23	0	1.65	0
67	24	0	1.675	0
68	24	0	1.7	0
69	24	0	1.725	0
70	25	0	1.75	0
71	25	0	1.775	0
72	25	0	1.8	0
73	26	0	1.825	0
74	26	0	1.85	0
75	26	0	1.875	0
76	27	0	1.9	0
77	27	0	1.925	0
